ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
Otoscope,JedMed,TotalENT Otoscope,,17402,,,,000186-005212,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5819,,,,000186-005212,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00037,TANDBERG Codec C40,9502157,V06.FNC.TMD.GMCRT.2217.HCC,000186-005214,Telehealth Patient Cart System,Specialty,26949,565,Fayetteville VA Medical Center (NC),483-A10086,,10.54.30.38,6
Main codec camera,,Camera,,B1AB42D00356,,,,000186-005214,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5824,,,,000186-005214,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00055,,,,000186-005216,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM0722090,,,,000186-005216,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,17455,,,,000186-005216,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922113,,,,000186-005216,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00340,,,,000186-005216,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1573,,,,000186-005216,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,412A11,,,,000186-005216,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV42D00179,TANDBERG Codec C40,9502150,V06.FNC.DPT.WIL.HCC.GTH.R1403.GMCart,000186-005218,Telehealth Patient Cart System,Specialty,8607,565,Fayetteville VA Medical Center (NC),483-A10086,,10.51.231.74,6
Main codec camera,,Camera,,B1AB42D00391,,,,000186-005218,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00047,TANDBERG Codec C40,9502142,V06.FNC.MHC.B52.RM109,000186-005220,Telehealth Patient Cart System,Specialty,10799,565,Fayetteville VA Medical Center (NC),483-A10086,,10.51.139.34,6
Main codec camera,,Camera,,B1AB42D00371,,,,000186-005220,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00012,,,,000186-107164,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00250,,,,000186-107164,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00168,TANDBERG Codec C40,9502140,V06.FNC.PCC.GMCart,000186-107165,Telehealth Patient Cart System,Specialty,10658,565,Fayetteville VA Medical Center (NC),483-A10086,,10.54.30.37,6
Main codec camera,,Camera,,B1AB42D00402,,,,000186-107165,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00140,TANDBERG Codec C40,9502145,V06.FNC.SCI.SPEC.R490.GMCart,000186-107166,Telehealth Patient Cart System,Specialty,10797,565,Fayetteville VA Medical Center (NC),483-A10086,,10.51.217.158,6
Main codec camera,,Camera,,B1AB42D00469,,,,000186-107166,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00049,,,,000186-107167,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00385,,,,000186-107167,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00045,TANDBERG Codec C40,9502156,V06.FNC.TRM.TRAINING.1.GMCart,000186-107168,Telehealth Patient Cart System,Specialty,10807,565,Fayetteville VA Medical Center (NC),483-A10086,,10.51.217.155,6
Main codec camera,,Camera,,B1AB42D00464,,,,000186-107168,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV42D00079,,,,000186-107169,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00415,,,,000186-107169,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5764,,,,000186-107169,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00057,,,,000186-107170,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00403,,,,000186-107170,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00044,,,,000186-107171,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00467,,,,000186-107171,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00014,,,,000186-107172,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00462,,,,000186-107172,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV37D00147,,,,000188-005222,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071880,,,,000188-005222,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,17408,,,,000188-005222,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Main codec camera,,Camera,,B1AB39D00242,,,,000188-005222,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1321,,,,000188-005222,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,412399,,,,000188-005222,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00277,,,,000188-005224,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071770,,,,000188-005224,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,16906,,,,000188-005224,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Main codec camera,,Camera,,B1AB38D00375,,,,000188-005224,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1348,,,,000188-005224,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,412310,,,,000188-005224,Telehealth Patient Cart System,Clinical,,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00218,TANDBERG Codec C40,9538037,V10.CLE.TMD.Mansfield.b1.r106,000190-005226,Telehealth Patient Cart System,Clinical,19343,541,Cleveland VA Medical Center,487-A10001,,10.83.66.224,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071272,,,,000190-005226,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,16908,,,,000190-005226,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Main codec camera,,Camera,,B1AB38D00371,,,,000190-005226,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1367,,,,000190-005226,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,412417,,,,000190-005226,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00278,TANDBERG Codec C40,9538009,V10.CLE.TMD.Youngstown.b1.r148,000190-005228,Telehealth Patient Cart System,Clinical,13322,541,Cleveland VA Medical Center,487-A10001,,10.83.115.147,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071789,,,,000190-005228,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,16999,,,,000190-005228,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921318,,,,000190-005228,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Main codec camera,,Camera,,B1AB39D00219,,,,000190-005228,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1391,,,,000190-005228,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,411D63,,,,000190-005228,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00271,TANDBERG Codec C40,9503779,V10.CLE.TMD.Sandusky.b1.r421,000190-005230,Telehealth Patient Cart System,Clinical,27536,541,Cleveland VA Medical Center,487-A10001,,10.83.124.240,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071760,,,,000190-005230,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,16965,,,,000190-005230,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921300,,,,000190-005230,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Main codec camera,,Camera,,B1AB39D00250,,,,000190-005230,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1258,,,,000190-005230,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,4124A9,,,,000190-005230,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00294,TANDBERG Codec C40,9503819,V10.DAY.TMD.Lima.b1.r33,000190-005232,Telehealth Patient Cart System,Clinical,13591,541,Cleveland VA Medical Center,487-A10001,,10.85.225.167,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071951,,,,000190-005232,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,17067,,,,000190-005232,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921302,,,,000190-005232,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Main codec camera,,Camera,,B1AB39D00269,,,,000190-005232,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1377,,,,000190-005232,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,41233C,,,,000190-005232,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00274,,,,000190-005234,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071406,,,,000190-005234,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,17084,,,,000190-005234,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921320,,,,000190-005234,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Main codec camera,,Camera,,B1AB39D00216,,,,000190-005234,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1384,,,,000190-005234,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,4124B0,,,,000190-005234,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00239,TANDBERG Codec C40,9538036,V10.CLE.TMD.Akron.b1.r193e,000190-005236,Telehealth Patient Cart System,Clinical,16432,541,Cleveland VA Medical Center,487-A10001,,10.83.123.68,10
Digital Stethoscope,GlobalMed,ClearSteth USB Chestpiece,,GM071788,,,,000190-005236,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,17289,,,,000190-005236,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921467,,,,000190-005236,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Main codec camera,,Camera,,B1AB38D00647,,,,000190-005236,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,1368,,,,000190-005236,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,4124AA,,,,000190-005236,Telehealth Patient Cart System,Clinical,,541,Cleveland VA Medical Center,487-A10001,,,10
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00163,TANDBERG Codec C40,9501871,V05.WAS.TMD.FB202,000194-006473,Telehealth Patient Cart System,Clinical,9590,688,Washington DC VA Medical Center,688-A11356,"Flood E, Ernest",10.41.213.131,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,FTT170800JJ,,,,000194-006475,Telehealth Patient Cart System,Clinical,,688,Washington DC VA Medical Center,688-A11356,,,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV44E00299,,,,000194-006477,Telehealth Patient Cart System,Clinical,,688,Washington DC VA Medical Center,688-A11356,,,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00185,,,,000194-006479,Telehealth Patient Cart System,Clinical,,688,Washington DC VA Medical Center,688-A11356,,,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00056,TANDBERG Codec C40,9501818,V05.WAS.TMD.FB200,000194-006481,Telehealth Patient Cart System,Clinical,9589,688,Washington DC VA Medical Center,688-A11356,,10.41.213.130,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00213,TANDBERG Codec C40,9501830,V05.WAS.TMH.CHALL6A,000194-006483,Telehealth Patient Cart System,Clinical,20344,688,Washington DC VA Medical Center,688-A11356,,10.41.216.130,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV31D00383,TANDBERG Codec C40,9501820,V05.WAS.TMH.CHARHALL.V2,000194-006485,Telehealth Patient Cart System,Clinical,28929,688,Washington DC VA Medical Center,688-A11356,,10.41.216.137,5
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922822,,,,000194-006485,Telehealth Patient Cart System,Clinical,,688,Washington DC VA Medical Center,688-A11356,,,5
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1460,,,,000194-006485,Telehealth Patient Cart System,Clinical,,688,Washington DC VA Medical Center,688-A11356,,,5
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM6218,,,,000194-006485,Telehealth Patient Cart System,Clinical,,688,Washington DC VA Medical Center,688-A11356,,,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00149,TANDBERG Codec C40,9500317,V01.TOG.TMD.CBOC.CAR.R7,000211-006085,Telehealth Patient Cart System,Clinical,13654,689,Augusta (ME) VA Medical Center,689-1A0152,,10.14.139.198,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921999,,,,000211-006085,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Main codec camera,,Camera,,B1AB38D00690,,,,000211-006085,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1394,,,,000211-006085,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5929,,,,000211-006085,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00188,TANDBERG Codec C40,9500322,V01.TOG.TMD.B206.R139B,000211-006091,Telehealth Patient Cart System,Clinical,13468,689,Augusta (ME) VA Medical Center,689-1A0152,,10.14.193.79,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921997,,,,000211-006091,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Main codec camera,,Camera,,B1AB39D00431,,,,000211-006091,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1343,,,,000211-006091,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5962,,,,000211-006091,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00141,TANDBERG Codec C40,9500321,V01.TOG.TMD.CBOC.LEW.R1020B,000211-006095,Telehealth Patient Cart System,Clinical,13477,689,Augusta (ME) VA Medical Center,689-1A0152,,10.14.193.78,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922208,,,,000211-006095,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Main codec camera,,Camera,,B1AB38D00622,,,,000211-006095,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1398,,,,000211-006095,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5975,,,,000211-006095,Telehealth Patient Cart System,Clinical,,689,Augusta (ME) VA Medical Center,689-1A0152,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00053,,,,000220-005252,Telehealth Patient Cart System,Clinical,,693,Wilkes-Barre VA Medical Center,529-C15222,,,4
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921307,,,,000220-005252,Telehealth Patient Cart System,Clinical,,693,Wilkes-Barre VA Medical Center,529-C15222,,,4
Main codec camera,,Camera,,B1AB41D00265,,,,000220-005252,Telehealth Patient Cart System,Clinical,,693,Wilkes-Barre VA Medical Center,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1282,,,,000220-005252,Telehealth Patient Cart System,Clinical,,693,Wilkes-Barre VA Medical Center,529-C15222,,,4
